size: 64    latency: 26.8900 ns
size: 128    latency: 26.8939 ns
size: 256    latency: 26.5544 ns
size: 512    latency: 26.5141 ns
size: 1 K  latency: 26.4645 ns
size: 2 K  latency: 26.3809 ns
size: 4 K  latency: 26.3983 ns
size: 8 K  latency: 26.3784 ns
size: 16 K  latency: 26.4153 ns
size: 32 K  latency: 26.4679 ns
size: 64 K  latency: 26.5434 ns
size: 128 K  latency: 26.5597 ns
size: 256 K  latency: 26.4695 ns
size: 512 K  latency: 26.5293 ns
size: 1024 K  latency: 26.5142 ns
