size: 64    latency: 53.7112 ns
size: 128    latency: 53.6134 ns
size: 256    latency: 53.3238 ns
size: 512    latency: 53.0444 ns
size: 1 K  latency: 52.6100 ns
size: 2 K  latency: 50.6401 ns
size: 4 K  latency: 52.6280 ns
size: 8 K  latency: 52.8755 ns
size: 16 K  latency: 52.7314 ns
size: 32 K  latency: 51.8342 ns
size: 64 K  latency: 52.8741 ns
size: 128 K  latency: 52.9847 ns
size: 256 K  latency: 52.9712 ns
size: 512 K  latency: 52.7472 ns
size: 1024 K  latency: 53.0510 ns
