size: 64    latency: 7.2974 ns
size: 128    latency: 8.5156 ns
size: 256    latency: 5.6873 ns
size: 512    latency: 5.2887 ns
size: 1 K  latency: 5.3467 ns
size: 2 K  latency: 5.2948 ns
size: 4 K  latency: 5.1117 ns
size: 8 K  latency: 4.9744 ns
size: 16 K  latency: 4.9108 ns
size: 32 K  latency: 4.8596 ns
size: 64 K  latency: 4.7795 ns
size: 128 K  latency: 4.8168 ns
size: 256 K  latency: 4.7803 ns
size: 512 K  latency: 4.7237 ns
size: 1024 K  latency: 4.5992 ns
